nname,mins,club_yc90,club_g90,club_a90
dimitry bertaud,720,0.0,0.0,0.0
dinis pinto,4840,0.3347,0.0558,0.1674
dinko horkas,1353,0.0665,0.0,0.0
dino islamovic,473,0.3805,1.1416,0.0
diogo bezerra,1267,0.2131,0.071,0.1421
diogo calila,3177,0.3683,0.085,0.0567
diogo costa,9692,0.0279,0.0,0.0
diogo dalot,9219,0.1269,0.0586,0.1074
diogo goncalves,576,0.1562,0.625,0.0
diogo jota,2389,0.0753,0.4897,0.3014
diogo leite,6209,0.1594,0.0145,0.0435
diogo nascimento,2620,0.0687,0.0344,0.1374
diogo sousa,4126,0.1963,0.0218,0.0218
diogo spencer,1240,0.1452,0.0726,0.1452
diogo travassos,4156,0.1516,0.1299,0.065
dion beljo,670,0.403,0.6716,0.1343
dion de neve,2369,0.0,0.076,0.114
dion lopy,849,0.424,0.0,0.0
dirk asare,465,0.1935,0.0,0.0
dirk proper,4761,0.1323,0.1323,0.0756
divock origi,576,0.0,0.1562,0.1562
djalma silva,1859,0.1452,0.0484,0.2421
djaoui cisse,2115,0.2979,0.0426,0.0
dje,1044,0.7759,0.0,0.0862
djed spence,5980,0.1505,0.0151,0.0301
djeidi gassama,3273,0.1925,0.22,0.165
djevencio van der kust,4071,0.1548,0.0221,0.1548
djibril lamego,2148,0.0838,0.0,0.0
djibril sidibe,4776,0.0565,0.0565,0.1319
djibril soumare,1885,0.4297,0.0477,0.0477
djibril sow,5254,0.2398,0.1199,0.1028
djihad bizimana,2299,0.274,0.0391,0.0
djordje nikolic,1395,0.2581,0.0,0.0
djordje petrovic,8700,0.1034,0.0,0.0
dmitrijs zelenkovs,719,0.0,0.0,0.1252
dmitriy aleksandrov,618,0.4369,0.0,0.0
dmitriy barinov,7123,0.278,0.0505,0.1769
dmitriy chistyakov,3105,0.2609,0.058,0.0
dmitriy kabutov,4903,0.2386,0.0367,0.1836
dmitriy pestryakov,3762,0.0718,0.1914,0.1435
dmitriy rybchinskiy,3952,0.0683,0.0455,0.1594
dmitriy skopintsev,4934,0.1277,0.0365,0.1094
dmitriy stotskiy,495,0.1818,0.1818,0.0
dmitriy tikhiy,1079,0.2502,0.0,0.1668
dmitriy tsypchenko,637,0.1413,0.2826,0.1413
dmitriy vasiljev,2167,0.3738,0.2077,0.0415
dmitriy vorobyov,5448,0.2643,0.446,0.1817
dmytro godya,1492,0.4223,0.0,0.2413
dmytro ivanisenya,689,0.2612,0.0,0.0
dmytro kapinus,1340,0.2015,0.0,0.0
dmytro khomchenovskyi,1195,0.0753,0.0,0.1506
dmytro klyots,3147,0.2002,0.0572,0.1716
dmytro kryskiv,4280,0.2103,0.0841,0.0841
dmytro ledviy,4050,0.0,0.0,0.0
dmytro myshnyov,4085,0.2203,0.0441,0.0441
dmytro plakhtyr,1447,0.311,0.1866,0.0622
dmytro riznyk,7851,0.0229,0.0,0.0115
dmytro semenov,4208,0.2353,0.0214,0.0642
dmytro shastal,1957,0.138,0.184,0.138
dmytro topalov,1992,0.2259,0.0904,0.0
dmytro yusov,900,0.2,0.2,0.1
dodi lukebakio,4850,0.1113,0.2969,0.1299
dodo,6994,0.2188,0.0257,0.1029
dogan erdogan,650,0.0,0.1385,0.0
dogucan haspolat,5416,0.2825,0.0499,0.1662
dogukan sinik,1155,0.5455,0.0779,0.3117
domagoj bradaric,5476,0.1644,0.0329,0.0493
domagoj vida,4417,0.163,0.0408,0.0204
domantas simkus,516,0.3488,0.0,0.0
domenico berardi,2271,0.1189,0.317,0.2378
domingos duarte,5488,0.2788,0.0328,0.0164
domingos quina,733,0.3683,0.0,0.3683
dominic calvert lewin,5913,0.1065,0.3349,0.0761
dominic solanke,5899,0.061,0.4272,0.1526
dominic thompson,3081,0.2045,0.0292,0.0292
dominik fitz,530,0.1698,0.5094,0.5094
dominik greif,6750,0.04,0.0,0.0133
dominik holec,630,0.2857,0.0,0.0
dominik janosek,1322,0.0,0.1362,0.2723
dominik kohr,6312,0.4848,0.0856,0.0
dominik kostka,540,0.1667,0.0,0.0
dominik kotarski,8460,0.0319,0.0,0.0
dominik livakovic,5042,0.0179,0.0,0.0179
dominik oroz,4152,0.3685,0.0867,0.0217
dominik prpic,540,0.5,0.0,0.0
dominik schmid,783,0.1149,0.0,0.0
dominik szoboszlai,8842,0.1629,0.2341,0.2341
dominik takac,570,0.0,0.0,0.0
dominique heintz,538,0.0,0.0,0.0
donny van de beek,2372,0.3035,0.1138,0.0759
donovan leon,5343,0.0842,0.0,0.0337
donyell malen,5132,0.1228,0.6839,0.1403
dor peretz,1057,0.0,0.1703,0.0
dor turgeman,987,0.0912,0.3647,0.3647
dorgeles nene,2374,0.2275,0.417,0.3412
dorian hanza,1136,0.1585,0.3169,0.0792
dorukhan tokoz,2096,0.3435,0.0,0.0
douglas augusto,5375,0.3516,0.1507,0.0335
douglas luiz,4012,0.3365,0.0897,0.1122
douglas santos,6033,0.0746,0.0597,0.0895
drey wright,5769,0.078,0.0468,0.0312
dries mertens,4463,0.1815,0.2823,0.6453
drissa camara,2196,0.3689,0.123,0.4098
dro fernandez,833,0.0,0.108,0.108
du queiroz,2035,0.0885,0.0885,0.1769
duckens nazon,2804,0.1926,0.321,0.1605
dudu,1153,0.0781,0.2342,0.0781
dudu teodora,1449,0.0,0.1863,0.1242
duje caleta car,6177,0.2623,0.0291,0.0146
dujon sterling,3245,0.3051,0.0555,0.0832
duk,1890,0.4762,0.1905,0.1429
dusan tadic,5408,0.0832,0.2663,0.4327
dusan vlahovic,5489,0.1804,0.6395,0.1312
duvan zapata,3524,0.0766,0.3831,0.1022
dwight gayle,831,0.0,0.5415,0.4332
dwight mcneil,4673,0.0578,0.1156,0.2119
dylan batubinsika,2737,0.1644,0.0329,0.0
dylan bronn,547,0.4936,0.0,0.0
dylan levitt,1514,0.2378,0.2378,0.1189
dylan lobban,896,0.4018,0.0,0.0
dylan mbayo,2188,0.0823,0.1645,0.3291
dylan mertens,2175,0.331,0.0,0.0
dylan nandin,1576,0.2284,0.2284,0.1713
dylan tait,2805,0.3209,0.0963,0.0321
dylan vente,5591,0.0644,0.3702,0.0483
dzenan pejcinovic,1624,0.1108,0.6096,0.0554
dzhamalutdin abdulkadyrov,1008,0.1786,0.0,0.0
eamonn brophy,953,0.0,0.1889,0.1889
ebenezer akinsanmiro,1478,0.1218,0.0,0.0609
eberechi eze,7621,0.059,0.3543,0.2244
eboue kouassi,665,0.406,0.0,0.0
ebube duru,2025,0.0,0.0889,0.0
edan diop,2270,0.2775,0.1982,0.0396
eddie nketiah,1874,0.3362,0.3362,0.1921
eddie salcedo,3339,0.3235,0.4852,0.1078
eddy doue,811,0.4439,0.111,0.0
eder gonzalez,3207,0.1684,0.0281,0.0281
eder militao,3326,0.2165,0.0812,0.0541
ederson,17321,0.1819,0.052,0.0416
edgar gonzalez,1364,0.2639,0.066,0.0
edgar sevikyan,1476,0.061,0.0,0.3049
edgar tur,554,0.3249,0.0,0.1625
edgaras utkus,3457,0.2083,0.1041,0.026
edgardo farina,2560,0.457,0.1055,0.0
edimilson fernandes,2775,0.0649,0.0324,0.1622
edin dzeko,5015,0.1256,0.5563,0.1795
edin visca,4461,0.0605,0.1412,0.3228
edmond tapsoba,9596,0.2157,0.0563,0.0563
edmund baidoo,767,0.1173,0.2347,0.0
edoardo bove,2153,0.1672,0.0418,0.1254
edoardo corvi,1530,0.0588,0.0,0.0
edoardo goldaniga,2808,0.3846,0.0321,0.0
edoardo motta,1110,0.0811,0.0,0.0
edon zhegrova,3260,0.1656,0.3589,0.1104
edouard mendy,660,0.1364,0.0,0.0
edouard michut,4410,0.2653,0.0204,0.0612
edson alvarez,4472,0.4428,0.0201,0.0403
edson fernando,1865,0.3861,0.0,0.193
edu exposito,3663,0.2948,0.0246,0.1966
eduard kozik,4035,0.2677,0.0223,0.0446
eduard sarapiy,6364,0.2263,0.1131,0.0424
eduard spertsyan,6879,0.1177,0.3663,0.3663
eduardo camavinga,5982,0.3009,0.0602,0.0903
eduardo guerrero,3695,0.1218,0.341,0.1705
eduardo quaresma,4748,0.1327,0.0758,0.0379
edward chilufya,1378,0.1306,0.2612,0.5878
efecan karaca,3658,0.2214,0.0492,0.0984
efkan bekiroglu,2909,0.1856,0.2784,0.2784
egas cacintura,5154,0.1222,0.227,0.1572
ege bilsel,1186,0.3035,0.0,0.2277
eggert aron gudmundsson,881,0.0,0.0,0.0
egor filipenko,855,0.2105,0.0,0.0
egor golenkov,4985,0.1805,0.3069,0.1986
egor lyubakov,630,0.0,0.0,0.0
egor parkhomenko,750,0.0,0.0,0.12
egor pogostnov,1873,0.3844,0.0481,0.0
egor smelov,1629,0.1657,0.0,0.1105
egor teslenko,5800,0.2948,0.0776,0.031
eguinaldo,3375,0.1333,0.4533,0.32
ehsan hajsafi,1753,0.2054,0.0513,0.154
eivind helland,1506,0.239,0.0,0.0598
el bilal toure,2741,0.197,0.3612,0.2298
el chadaille bitshiabu,2403,0.0749,0.0,0.0
el hadji malick diouf,4261,0.2323,0.0,0.1267
el mehdi maouhoub,1956,0.2761,0.5061,0.3221
elayis tavsan,1087,0.0828,0.1656,0.2484
elbasan rashani,667,0.2699,0.2699,0.1349
eldar civic,999,0.2703,0.0901,0.2703
eldor shomurodov,5358,0.084,0.5375,0.2016
eli dasa,4579,0.0786,0.059,0.059
eli king,844,0.1066,0.0,0.1066
elia caprile,7524,0.0239,0.0,0.0
elia giani,803,0.6725,0.3362,0.2242
eliano reijnders,2239,0.0804,0.1206,0.0
eliaquim mangala,1366,0.5271,0.0,0.0
elias achouri,4204,0.1927,0.1713,0.1499
elias cobbaut,1284,0.0701,0.0,0.0
elias jelert,1417,0.1905,0.0635,0.0
elias mar omarsson,2399,0.0,0.3001,0.075
elias olafsson,6043,0.0,0.0,0.0
elias saad,1056,0.1705,0.2557,0.2557
elias telles,2611,0.2413,0.1379,0.0345
elie youan,2680,0.1343,0.3022,0.2351
elies mahmoud,1797,0.1002,0.1002,0.1002
eliesse ben seghir,3272,0.0825,0.2751,0.1375
eliezer mayenda,1049,0.0,0.1716,0.0858
elijah adebayo,761,0.0,0.5913,0.0
elijah campbell,1953,0.2765,0.0461,0.0
elijah dijkstra,1591,0.1131,0.0,0.0566
elijah just,2396,0.0751,0.2629,0.3005
elisha owusu,4704,0.2679,0.0191,0.0574
eljif elmas,3870,0.1395,0.1163,0.1163
ellery balcombe,3150,0.0857,0.0,0.0571
elliot anderson,7939,0.2834,0.068,0.136
elliot watt,3085,0.2334,0.1459,0.0875
ellyes skhiri,6427,0.14,0.042,0.07
eloy room,1620,0.0,0.0,0.0
elseid hysaj,1614,0.223,0.0,0.1673
elton kabangu,1618,0.1112,0.445,0.1669
elves balde,1782,0.0505,0.0505,0.202
elvin cafarquliyev,1185,0.0,0.1519,0.1519
elvis bwomono,2550,0.2118,0.0,0.0706
elvis rexhbecaj,3871,0.3255,0.093,0.0232
elye wahi,3370,0.3205,0.454,0.1869
emanuel aiwu,1350,0.2,0.0,0.0
emanuele valeri,6860,0.0787,0.0262,0.1574
emerson,7318,0.1722,0.0492,0.0738
emerson royal,2336,0.2697,0.0,0.0
emersonn,2081,0.2162,0.346,0.0865
emil audero,4208,0.0,0.0,0.0
emil bergstrom,3128,0.0863,0.0,0.0288
emil hansson,1303,0.1381,0.1381,0.4144
emil holm,4335,0.2907,0.0623,0.2076
emil konradsen ceide,564,0.1596,0.0,0.0
emil kornvig,1707,0.1582,0.2109,0.0
emil krafth,1531,0.2351,0.0,0.0
emil mustafayev,1752,0.1541,0.1027,0.1541
emil tsenov,657,0.0,0.274,0.0
emile smith rowe,4817,0.0747,0.2055,0.0747
emiliano buendia,3426,0.289,0.3415,0.2364
emiliano marcondes,1046,0.2581,0.1721,0.0
emiliano martinez,12351,0.0874,0.0,0.0146
emilio kehrer,1171,0.0,0.0769,0.2306
emilio simonsen,901,0.1998,0.0999,0.2997
emin bayram,4946,0.2366,0.0728,0.0364
emir kaan gultekin,1001,0.2697,0.0899,0.0899
emir karic,2017,0.2231,0.0,0.0
emir ortakaya,925,0.2919,0.0,0.0
emircan gurluk,3361,0.0268,0.1607,0.1874
emirhan basyigit,557,0.0,0.0,0.0
emirhan ilkhan,1856,0.3394,0.1455,0.1455
emirhan topcu,6089,0.4139,0.0443,0.0443
emmanuel adegboyega,2390,0.3766,0.113,0.0
emmanuel agbadou,6772,0.1595,0.0399,0.0532
emmanuel agyei,722,0.2493,0.1247,0.1247
emmanuel biumla,1717,0.1048,0.0524,0.0
emmanuel boateng,2248,0.4404,0.3203,0.1201
emmanuel ekong,832,0.3245,0.3245,0.0
emmanuel emegha,3947,0.228,0.5473,0.1368
emmanuel fernandez,2265,0.0795,0.1987,0.0
emmanuel gyamfi,925,0.3892,0.0973,0.0
emmanuel gyasi,4979,0.1808,0.0362,0.0904
emmanuel kakou,2691,0.1672,0.1003,0.0334
emmanuel longelo,2335,0.1156,0.2313,0.1542
emmanuel sabbi,1821,0.1977,0.1483,0.0494
emmanuel uchenna,540,0.3333,0.0,0.0
emmanuel yeboah,623,0.4334,0.4334,0.0
emrah bassan,1398,0.0644,0.1288,0.1931
emran soglo,1169,0.231,0.0,0.308
emre akbaba,4599,0.1174,0.274,0.0783
emre can,5814,0.2012,0.1548,0.031
emre klnc,5061,0.249,0.1245,0.3379
emre mor,1758,0.5631,0.1024,0.256
emre tasdemir,1057,0.1703,0.0851,0.0851
emrecan bulut,1077,0.2507,0.2507,0.3343
emrecan terzi,714,0.1261,0.0,0.1261
endrick,2327,0.2707,0.5028,0.3094
enea mihaj,3847,0.2807,0.0,0.0234
enes keskin,1221,0.2948,0.0737,0.0737
enes mahmutovic,1494,0.1205,0.0,0.0
enes unal,1136,0.3961,0.3961,0.3961
enis bardhi,5223,0.1206,0.1895,0.1895
enis cokaj,4389,0.3281,0.0,0.0205
enis destan,1810,0.1492,0.3978,0.1989
ennio van der gouw,900,0.1,0.0,0.0
enric franquesa,640,0.1406,0.1406,0.0
enric llansana,5897,0.1831,0.0763,0.1068
enric saborit,795,0.3396,0.1132,0.0
enrico delprato,6147,0.1903,0.0878,0.0
enrique lofolomo,873,0.5155,0.0,0.1031
enzo barrenechea,6567,0.2467,0.0411,0.0411
enzo boyomo,6285,0.1862,0.043,0.0286
enzo cornelisse,780,0.0,0.0,0.0
enzo ebosse,1517,0.356,0.0,0.0593
enzo fernandez,9634,0.2616,0.2429,0.1962
enzo le fee,4309,0.188,0.1253,0.1462
enzo loiodice,1617,0.2226,0.0,0.0557
enzo millot,4139,0.3479,0.3262,0.3262
enzo tchato,2700,0.1333,0.0,0.0
epaminondas pantelakis,3569,0.3783,0.0252,0.0
equi fernandez,1457,0.1235,0.0,0.0618
eray comert,4488,0.2607,0.0602,0.0201
eray ozbek,943,0.4772,0.0954,0.0
ercan kara,887,0.3044,0.3044,0.1015
erce kardesler,3379,0.2397,0.0,0.0
erdal rakip,2313,0.4669,0.0389,0.0389
erdem canpolat,2430,0.1852,0.0,0.0
erdem ozgenc,883,0.1019,0.1019,0.3058
erdogan yesilyurt,2783,0.4527,0.0323,0.2264
eren dinkci,4259,0.1479,0.1691,0.2324
eren elmal,6304,0.2427,0.0428,0.0286
erencan yardmc,1132,0.2385,0.0795,0.159
erhan erenturk,630,0.1429,0.0,0.0
erhan masovic,2085,0.2158,0.0432,0.0432
eric bailly,3022,0.268,0.0298,0.0
eric bicfalvi,470,0.1915,0.1915,0.0
eric dier,4399,0.0614,0.1023,0.0205
eric garcia,7595,0.154,0.1185,0.0592
eric junior bocat,705,0.1277,0.0,0.1277
eric kahl,4472,0.1208,0.0,0.0604
eric larsson,876,0.0,0.1027,0.1027
eric martel,4091,0.33,0.088,0.066
eric smith,5674,0.1745,0.0634,0.0476
erick ferigra,1243,0.1448,0.0,0.0724
erick nunes,2038,0.1325,0.0,0.1325
erik ahlstrand,864,0.0,0.0,0.1042
erik botheim,1192,0.151,0.302,0.0755
erik lamela,1501,0.5996,0.2398,0.1799
erik palmer brown,2878,0.2189,0.0313,0.0
erik prekop,887,0.3044,0.5073,0.2029
erik schouten,1582,0.1138,0.0,0.0
erling haaland,10062,0.0358,0.814,0.1342
ermedin demirovic,6593,0.2184,0.5324,0.2184
ermir rashica,2013,0.0894,0.1341,0.0894
ernest astakhov,1174,0.1533,0.0,0.0767
ernest muci,4972,0.1629,0.3439,0.1448
ernest nuamah,2533,0.2132,0.2842,0.1066
ernest poku,5728,0.0943,0.1728,0.2828
ersin destanoglu,3186,0.1977,0.0,0.0
ertugrul ersoy,2098,0.2145,0.0858,0.0
ertugrul taskran,6660,0.0946,0.0,0.0
ervin zukanovic,810,0.2222,0.1111,0.0
esequiel barco,5866,0.0767,0.3222,0.2608
eser gurbuz,669,0.1345,0.4036,0.1345
eskild dall,832,0.1082,0.1082,0.2163
esmir bajraktarevic,1447,0.0,0.4354,0.311
espen van ee,4738,0.2469,0.057,0.057
esteban lepaul,4336,0.1038,0.6227,0.1038
ester sokler,1347,0.3341,0.2673,0.0668
estevao,2061,0.393,0.393,0.1747
ethan ampadu,3587,0.3011,0.0251,0.0251
ethan brooks,787,0.3431,0.0,0.1144
ethan hamilton,2909,0.2784,0.0619,0.0
ethan ingram,1431,0.4403,0.0,0.0
ethan mbappe,946,0.3805,0.2854,0.0951
ethan nwaneri,1960,0.1378,0.4133,0.1378
ethan pinnock,3465,0.1039,0.0779,0.0
ethan ross,832,0.3245,0.1082,0.2163
ethan schilte brown,1516,0.1187,0.0,0.0
ethan williams,1072,0.084,0.084,0.2519
etienne camara,3962,0.3635,0.0227,0.0909
etienne capoue,473,0.5708,0.3805,0.0
etienne vaessen,7043,0.1022,0.0,0.0128
etienne youte kinkoue,3959,0.1591,0.0,0.0
etrit berisha,750,0.0,0.0,0.0
evan ferguson,2080,0.0433,0.2596,0.1298
evan ndicka,9571,0.1411,0.0564,0.0376
evanilson,7016,0.0898,0.3464,0.1411
evann guessand,5610,0.0963,0.3369,0.1765
evert linthorst,6776,0.093,0.0664,0.093
evgeniy bolotov,1863,0.2899,0.1449,0.0
evgeniy chernov,1378,0.1959,0.0,0.0653
evgeniy latyshonok,5074,0.0709,0.0,0.0
evgeniy markov,1910,0.0942,0.377,0.0471
evgeniy morozov,4146,0.3907,0.0651,0.1302
evgeniy staver,5580,0.0323,0.0,0.0
evgeniy yablonskiy,3472,0.2333,0.1296,0.0518
ewan henderson,1700,0.1588,0.1059,0.0529
ewan wilson,2235,0.1208,0.0403,0.0
ewoud pletinckx,4369,0.1236,0.1442,0.0206
exequiel palacios,4791,0.1691,0.0564,0.1879
eyad el askalany,472,0.9534,0.0,0.0
eynel soares,1634,0.1652,0.1652,0.0551
eyup aydn,453,0.1987,0.0,0.1987
ezechiel banzuzi,3598,0.3752,0.1251,0.1751
ezequiel bullaude,2201,0.0818,0.3271,0.0409
ezequiel ponce,555,0.0,1.6216,0.0
ezri konsa,9978,0.0361,0.0541,0.009
fabian balbuena,3238,0.1112,0.139,0.0834
fabian bredlow,990,0.0,0.0,0.0
fabian de keijzer,4410,0.0204,0.0,0.0204
fabian holland,851,0.1058,0.0,0.0
fabian nurnberger,560,0.0,0.0,0.0
fabian rieder,4009,0.1347,0.202,0.2469
fabian ruiz,6441,0.1397,0.1397,0.2655
fabian schar,6397,0.2251,0.1266,0.0141
fabiano,7237,0.2238,0.0373,0.0124
fabiano parisi,3601,0.2499,0.075,0.075
fabien centonze,1685,0.3205,0.1602,0.0534
fabijan buntic,1145,0.0786,0.0,0.0
fabio,540,0.0,0.0,0.0
fabio balde,514,0.0,0.1751,0.1751
fabio cardoso,973,0.185,0.0925,0.0925
fabio carvalho,989,0.182,0.455,0.182
fabio chiarodia,1246,0.0722,0.0722,0.0722
fabio ferraro,4947,0.1092,0.0182,0.1455
fabio miretti,3403,0.1322,0.1322,0.2116
fabio ronaldo,2436,0.0,0.0739,0.1478
fabio silva,4299,0.2722,0.3559,0.2094
fabio vieira,5024,0.1791,0.215,0.215
fabricio garcia,1838,0.2448,0.1469,0.0
fabricio isidoro,863,0.4171,0.1043,0.0
fabricio pedrozo,2646,0.3061,0.5102,0.1361
fabricio yan,823,0.2187,0.1094,0.1094
facundo batista,1241,0.2176,0.5077,0.0725
facundo buonanotte,3454,0.3648,0.2606,0.1303
facundo caseres,4598,0.2936,0.0,0.0
facundo garces,1467,0.3067,0.0,0.0
facundo medina,5889,0.4738,0.0,0.0611
facundo pellistri,3494,0.0515,0.1288,0.2061
facundo perez,4306,0.4598,0.1254,0.0418
facundo soloa,538,0.6691,0.0,0.0
fahd moufi,2134,0.1687,0.0422,0.0422
faisal al ghamdi,1739,0.2588,0.0,0.0518
faissal al mazyani,1741,0.2068,0.0517,0.0517
falaye sacko,1333,0.0675,0.0,0.0675
fali,1121,0.4014,0.0,0.0
fali cande,2952,0.3049,0.0305,0.061
faouzi ghoulam,751,0.719,0.0,0.1198
fares chaibi,5400,0.1,0.1167,0.25
farid el melali,1903,0.0473,0.0946,0.3311
faride alidou,1086,0.2486,0.3315,0.0
faris moumbagna,957,0.1881,0.3762,0.1881
farley rosa,505,0.3564,0.3564,0.3564
farouck adekami,830,0.5422,0.2169,0.2169
fatih aksoy,2824,0.1912,0.0,0.0
faton maloku,720,0.25,0.0,0.0
fedde leysen,4059,0.1774,0.0443,0.0222
federico alvarez,2170,0.2488,0.0415,0.0415
federico barba,521,0.0,0.0,0.0
federico baschirotto,7941,0.0793,0.0453,0.0
federico bernardeschi,2119,0.2548,0.3823,0.0849
federico bonazzoli,3030,0.1188,0.3564,0.0891
federico ceccherini,1308,0.344,0.0,0.0688
federico chiesa,2456,0.1466,0.3298,0.1832
federico dimarco,8289,0.0977,0.1629,0.3474
federico fazio,702,0.0,0.0,0.0
federico gatti,6599,0.1637,0.0818,0.0273
federico gino,852,0.4225,0.0,0.0
federico macheda,3873,0.1859,0.2556,0.093
federico ravaglia,3990,0.0902,0.0,0.0
federico redondo,777,0.1158,0.1158,0.0
federico ricca,2789,0.4195,0.0323,0.0
federico valverde,12009,0.0749,0.1649,0.1949
federico vinas,2507,0.2154,0.3231,0.0359
fedor chalov,4170,0.0216,0.3237,0.1942
fedor smolov,1105,0.2443,0.4072,0.4072
felipe,450,0.4,0.0,0.2
felipe anderson,2067,0.1306,0.1742,0.0435
felipe augusto,4324,0.0624,0.3538,0.0624
felipe avenatti,592,0.152,0.152,0.0
felipe loyola,539,0.0,0.167,0.0
felippe cardoso,1893,0.4279,0.2853,0.0
felix agu,4119,0.0874,0.0655,0.1092
felix bacher,5130,0.1754,0.0702,0.0
felix beijmo,4874,0.2031,0.0739,0.1108
felix correia,7120,0.1138,0.2149,0.139
felix horn myhre,1011,0.178,0.089,0.089
felix lemarechal,3314,0.1358,0.1086,0.2173
felix mambimbi,660,0.1364,0.1364,0.1364
felix nmecha,6150,0.1317,0.1756,0.0878
felix passlack,3864,0.163,0.1165,0.2096
felix uduokhai,5863,0.1689,0.0154,0.0
felix winther,1539,0.2339,0.117,0.0585
fer lopez,2466,0.2555,0.146,0.073
ferdi kadoglu,6089,0.1478,0.0591,0.0296
ferland mendy,4594,0.1175,0.0196,0.0392
fermin lopez,6281,0.2293,0.4299,0.3869
fernando,583,0.0,0.1544,0.3087
fernando calero,2942,0.2141,0.0306,0.0
fernando costanza,5358,0.3191,0.084,0.084
fernando fonseca,1907,0.4248,0.0,0.0
fernando henrique,1257,0.2148,0.0,0.0716
fernando muslera,5802,0.1241,0.0155,0.0155
fernando varela,913,0.0986,0.0,0.0
ferran jutgla,4778,0.113,0.4521,0.1507
ferran torres,5549,0.0811,0.7299,0.1784
ferro,3046,0.2955,0.0591,0.0
festy ebosele,1408,0.3835,0.0639,0.0
fidan aliti,7498,0.2881,0.012,0.036
fiete arp,2654,0.4408,0.373,0.1017
figueiredo,1887,0.1431,0.2862,0.0954
fikayo tomori,6512,0.2902,0.0138,0.0691
filip bainovic,1143,0.4724,0.0787,0.0787
filip benkovic,506,0.3557,0.1779,0.0
filip bundgaard,2665,0.1013,0.4053,0.1351
filip damjanovic,1037,0.2604,0.0,0.0
filip djuricic,3978,0.4299,0.2941,0.1357
filip helander,507,0.1775,0.0,0.0
filip jrgensen,3573,0.1008,0.0,0.0
filip kostic,4060,0.1552,0.0887,0.2217
filip krastev,3699,0.1946,0.1946,0.1946
filip krovinovic,668,0.0,0.1347,0.1347
filip lissah,2452,0.2936,0.0734,0.0367
filip mladenovic,5569,0.2909,0.0646,0.1131
filip panak,741,0.1215,0.0,0.1215
filip stankovic,1368,0.0658,0.0,0.0
filip stojilkovic,709,0.0,0.0,0.0
filip szymczak,531,0.1695,0.0,0.1695
filip ugrinic,2467,0.2554,0.0365,0.1824
filipe ferreira,3385,0.1064,0.0,0.0
filipe relvas,5026,0.1791,0.0537,0.0358
filipe soares,1517,0.5933,0.1187,0.1187
filippo romagna,495,0.0,0.0,0.0
filippo terracciano,3918,0.2527,0.0459,0.0
findlay curtis,1375,0.1309,0.1964,0.2618
finlay robertson,2952,0.2134,0.061,0.1524
finn becker,1107,0.0813,0.0,0.0813
finn dahmen,6420,0.0421,0.0,0.0
finn jeltsch,3559,0.177,0.0,0.0253
finn porath,2130,0.2113,0.0845,0.1268
finn stam,1020,0.2647,0.0,0.0882
finn stokkers,1419,0.2537,0.3171,0.3171
finn yeats,1130,0.0,0.2389,0.0
fisayo dele bashiru,4807,0.0374,0.2059,0.1123
fisnik asllani,2522,0.0714,0.3925,0.3569
flavien tait,1281,0.2108,0.0703,0.2108
flavio paoletti,607,0.1483,0.1483,0.1483
flavius daniliuc,2007,0.0,0.0448,0.0897
florent hadergjonaj,6907,0.1433,0.1564,0.2345
florent hanin,3540,0.0508,0.0254,0.0508
florent mollet,1197,0.1504,0.0752,0.0752
florent muslija,550,0.0,0.1636,0.1636
florent ogier,457,0.0,0.0,0.1969
florentino,6877,0.3272,0.0393,0.0393
florian aye,559,0.0,0.322,0.0
florian danho,1145,0.1572,0.4716,0.3144
florian grillitsch,5192,0.2253,0.052,0.1213
florian kainz,1397,0.1933,0.1933,0.3221
florian lejeune,8748,0.1749,0.072,0.0412
florian loshaj,1520,0.3553,0.2368,0.0592
florian miguel,564,0.1596,0.1596,0.0
florian muller,1397,0.0644,0.0,0.0
florian neuhaus,2102,0.1713,0.0428,0.1713
florian sotoca,4083,0.1323,0.1323,0.0661
florian tardieu,1222,0.0,0.1473,0.2946
florian thauvin,5415,0.1163,0.3823,0.2161
florian wiegele,750,0.12,0.0,0.0
florian wirtz,8718,0.1445,0.3407,0.3407
florin nita,1890,0.0476,0.0,0.0
florin tanase,738,0.4878,0.122,0.0
flynn downes,2233,0.4837,0.0403,0.0
fode ballo toure,1455,0.1237,0.0,0.0
fode doucoure,1242,0.1449,0.2174,0.0725
fode koita,2573,0.3148,0.4197,0.07
folarin balogun,4557,0.0987,0.4937,0.158
formose mendy,491,0.5499,0.0,0.0
fotis ioannidis,4005,0.1573,0.3146,0.0899
fousseni diabate,1979,0.0455,0.0455,0.1819
fran beltran,6151,0.1024,0.0439,0.0146
fran garcia,5582,0.0161,0.0484,0.1129
fran navarro,3939,0.2056,0.4341,0.1142
fran perez,3477,0.1812,0.1294,0.0518
fran tudor,526,0.0,0.0,0.1711
fran velez,1768,0.4072,0.0509,0.0
fran vieites,810,0.1111,0.0,0.0
francesco acerbi,5957,0.136,0.0453,0.0302
francesco camarda,1021,0.1763,0.0881,0.0881
francesco coppola,456,0.5921,0.0,0.0
francesco folino,712,0.0,0.1264,0.0
francesco gelli,852,0.1056,0.0,0.0
francesco ruberto,565,0.3186,0.0,0.0
francesco zampano,1731,0.26,0.052,0.104
francis amuzu,983,0.0916,0.3662,0.1831
francis coquelin,1969,0.4114,0.0457,0.0914
francis momoh,2009,0.2688,0.1344,0.0448
