ref_norm,referee,club_games,club_cpg,club_ratio
oguzhan cakr,Oğuzhan Çakır,47,4.191,0.973
dalibor cerny,Dalibor Cerny,47,4.234,0.983
alexandre castro,Alexandre Castro,46,3.826,0.888
marco ferreira,Marco Ferreira,46,4.674,1.085
mustafa ogretmenoglu,Mustafa Ögretmenoglu,46,5.935,1.378
pawel gil,Pawel Gil,46,4.717,1.095
istvan vad,István Vad,46,4.0,0.928
darren bond,Darren Bond,46,3.804,0.883
alessandro prontera,Alessandro Prontera,46,4.196,0.974
efstathios gortsilas,Efstathios Gortsilas,46,5.674,1.317
christos vergetis,Christos Vergetis,46,5.978,1.388
ante culina,Ante Culina,46,4.304,0.999
igor nizovtsev,Igor Nizovtsev,45,4.711,1.094
calum murray,Calum Murray,45,3.067,0.712
cesar muniz fernandez,César Muñiz Fernández,45,6.444,1.496
iglesias villanueva,Iglesias Villanueva,45,5.578,1.295
bulent yildirim,Bülent Yildirim,45,4.933,1.145
gavin duncan,Gavin Duncan,45,3.467,0.805
marios lampropoulos,Marios Lampropoulos,45,5.644,1.31
ricardo baixinho,Ricardo Baixinho,45,6.756,1.568
sarper bars saka,Sarper Barış Saka,45,4.067,0.944
ivan abrosimov,Ivan Abrosimov,45,4.2,0.975
nenad minakovic,Nenad Minakovic,45,4.644,1.078
piotr lasyk,Piotr Lasyk,45,3.511,0.815
wojciech myc,Wojciech Myc,45,3.844,0.892
laurent duhamel,Laurent Duhamel,44,2.818,0.654
michael weiner,Michael Weiner,44,4.159,0.965
vladimir seldyakov,Vladimir Seldyakov,44,3.682,0.855
stanislav vasiljev,Stanislav Vasiljev,44,5.591,1.298
spyros zampalas,Spyros Zampalas,44,5.455,1.266
luca cibelli,Luca Cibelli,44,5.386,1.25
ermanno feliciani,Ermanno Feliciani,44,2.841,0.659
dominik stary,Dominik Stary,44,4.705,1.092
mehmet turkmen,Mehmet Türkmen,44,3.273,0.76
marek radina,Marek Radina,44,4.25,0.986
davi de oliveira lacerda,Davi de Oliveira Lacerda,44,4.932,1.145
gediminas mazeika,Gediminas Mazeika,43,4.186,0.972
michalis voskakis,Michalis Voskakis,43,5.674,1.317
dino tommasi,Dino Tommasi,43,4.442,1.031
benjamin helm svedborg,Benjamin Helm Svedborg,43,2.93,0.68
alexandros tsamouris,Alexandros Tsamouris,43,4.465,1.036
timo gerach,Timo Gerach,43,3.953,0.918
oleksandr afanasyev,Oleksandr Afanasyev,43,2.884,0.669
petros tsagarakis,Petros Tsagarakis,43,5.395,1.252
mateo erceg,Mateo Erceg,43,4.814,1.117
mauro bergonzi,Mauro Bergonzi,42,5.143,1.194
paulo baptista,Paulo Baptista,42,6.238,1.448
alexandros dimitropoulos,Alexandros Dimitropoulos,42,5.19,1.205
angelo cervellera,Angelo Cervellera,42,4.905,1.138
christos mitsios,Christos Mitsios,42,4.786,1.111
dmytro bondarenko,Dmytro Bondarenko,42,5.024,1.166
igor panin,Igor Panin,42,5.31,1.232
fedayi san,Fedayi San,42,4.833,1.122
fotis polychronis,Fotis Polychronis,42,4.952,1.15
marcel birsan,Marcel Bîrsan,42,4.357,1.011
christian petru ciochirca,Christian-Petru Ciochirca,42,4.0,0.928
bruno jose costa,Bruno José Costa,42,4.071,0.945
patrik kolaric,Patrik Kolaric,42,4.619,1.072
anton frolov,Anton Frolov,41,3.659,0.849
aleksey amelin,Aleksey Amelin,41,3.463,0.804
konstantinos katikos,Konstantinos Katikos,41,4.951,1.149
novak simovic,Novak Simovic,41,4.561,1.059
calum scott,Calum Scott,41,3.293,0.764
andrei chivulete,Andrei Chivulete,41,4.537,1.053
karol arys,Karol Arys,41,2.707,0.628
jan vsetecka,Jan Vsetecka,41,4.171,0.968
timur arslanbekov,Timur Arslanbekov,40,3.25,0.754
mattias gestranius,Mattias Gestranius,40,4.75,1.103
andrea de marco,Andrea De Marco,40,4.325,1.004
alireza faghani,Alireza Faghani,40,3.65,0.847
evgeniy bulanov,Evgeniy Bulanov,40,4.6,1.068
kristoffer karlsson,Kristoffer Karlsson,40,4.275,0.992
adam ladeback,Adam Ladebäck,40,3.875,0.899
simon bourdeaud'hui,Simon Bourdeaud'Hui,40,3.775,0.876
enea jorgji,Enea Jorgji,39,4.769,1.107
miguel angel ayza gamez,Miguel Ángel Ayza Gámez,39,4.436,1.03
svein oddvar moen,Svein Oddvar Moen,39,3.385,0.786
martin perez,Martin Peréz,39,3.513,0.815
serkan tokat,Serkan Tokat,39,4.615,1.071
damian kos,Damian Kos,39,4.59,1.065
alex king,Alex King,39,3.667,0.851
tore hansen,Tore Hansen,38,4.132,0.959
ivano pezzuto,Ivano Pezzuto,38,4.184,0.971
ozan ergun,Ozan Ergün,38,5.342,1.24
laurent colemonts,Laurent Colemonts,37,4.892,1.135
yuriy grysyo,Yuriy Grysyo,37,3.73,0.866
alexander harkam,Alexander Harkam,37,4.027,0.935
suleyman abay,Süleyman Abay,37,6.27,1.455
robert schorgenhofer,Robert Schörgenhofer,37,4.541,1.054
sebastian coltescu,Sebastian Coltescu,37,4.405,1.023
giorgi kruashvili,Giorgi Kruashvili,37,4.135,0.96
athanasios sezos,Athanasios Sezos,37,5.027,1.167
sergey tsyganok,Sergey Tsyganok,37,3.324,0.772
anastasiya romanyuk,Anastasiya Romanyuk,37,3.703,0.859
milos milanovic,Milos Milanovic,37,4.541,1.054
raphael claus,Raphael Claus,37,4.189,0.972
shaun evans,Shaun Evans,37,3.459,0.803
khalid saleh al turais,Khalid Saleh Al-Turais,37,4.405,1.023
jaroslaw przybyl,Jaroslaw Przybyl,37,4.378,1.016
patryk gryckiewicz,Patryk Gryckiewicz,37,4.703,1.092
tomasz kwiatkowski,Tomasz Kwiatkowski,37,4.622,1.073
lukas nehasil,Lukas Nehasil,37,3.297,0.765
allen chapman,Allen Chapman,37,3.432,0.797
rodrigo jose pereira de lima,Rodrigo José Pereira de Lima,37,5.27,1.223
yuriy moseychuk,Yuriy Moseychuk,36,6.028,1.399
oleksandr golovkov,Oleksandr Golovkov,36,4.639,1.077
cagatay sahan,Cagatay Sahan,36,5.167,1.199
oleksandr solovyan,Oleksandr Solovyan,36,5.028,1.167
egor egorov,Egor Egorov,36,3.806,0.883
martijn vos,Martijn Vos,36,3.833,0.89
stavros tsimenteridis,Stavros Tsimenteridis,36,5.25,1.219
ross hardie,Ross Hardie,36,3.972,0.922
direnc tonusluoglu,Direnç Tonusluoğlu,36,4.778,1.109
jan benes,Jan Benes,36,5.111,1.186
rafael rodrigo klein,Rafael Rodrigo Klein,36,4.694,1.09
viktor shvetsov,Viktor Shvetsov,35,6.371,1.479
anastasios kakos,Anastasios Kakos,35,5.857,1.36
ola hobber nilsen,Ola Hobber Nilsen,35,3.429,0.796
oleksandr kalyonov,Oleksandr Kalyonov,35,3.543,0.822
klym zabroda,Klym Zabroda,35,4.229,0.982
alessandro dudic,Alessandro Dudic,35,4.771,1.108
sven wolfensberger,Sven Wolfensberger,35,5.029,1.167
majed mohammed al shamrani,Majed Mohammed Al-Shamrani,35,4.229,0.982
rubiel vazquez,Rubiel Vázquez,35,3.943,0.915
miroslav zelinka,Miroslav Zelinka,34,5.235,1.215
filip glova,Filip Glova,34,4.0,0.928
mert guzenge,Mert Güzenge,34,3.853,0.894
gael angoula,Gaël Angoula,34,3.265,0.758
filip dujic,Filip Dujic,34,4.294,0.997
rosendo mendoza,Rosendo Mendoza,34,4.853,1.126
bibiana steinhaus webb,Bibiana Steinhaus-Webb,33,2.848,0.661
euan norris,Euan Norris,33,4.0,0.928
carlos delgado ferreiro,Carlos Delgado Ferreiro,33,5.121,1.189
baris simsek,Baris Simsek,33,5.727,1.329
barry cook,Barry Cook,33,4.061,0.943
iosu galech apezteguia,Iosu Galech Apezteguía,33,4.636,1.076
manfredas lukjancukas,Manfredas Lukjancukas,33,5.182,1.203
burak seker,Burak Şeker,33,4.758,1.104
sigurd kringstad,Sigurd Kringstad,33,4.091,0.95
stefan ebner,Stefan Ebner,33,4.455,1.034
jose bessa,José Bessa,33,5.667,1.315
ben abraham,Ben Abraham,33,3.03,0.703
drew fischer,Drew Fischer,33,4.212,0.978
victor rivas,Victor Rivas,33,4.879,1.132
yunus yildirim,Yunus Yildirim,32,3.938,0.914
georgios daskalopoulos,Georgios Daskalopoulos,32,5.562,1.291
sergey kulikov,Sergey Kulikov,32,4.0,0.928
laurens gerrets,Laurens Gerrets,32,3.719,0.863
lionel tschudi,Lionel Tschudi,32,3.969,0.921
walter altmann,Walter Altmann,32,4.406,1.023
turgut doman,Turgut Doman,32,4.406,1.023
wilton pereira sampaio,Wilton Pereira Sampaio,32,5.094,1.182
mohammed khaled al hoaish,Mohammed Khaled Al-Hoaish,32,3.875,0.899
granit maqedonci,Granit Maqedonci,32,3.219,0.747
ante terzic,Ante Terzic,32,4.469,1.037
daniel elder,Daniel Elder,32,3.125,0.725
anderson daronco,Anderson Daronco,32,4.844,1.124
denis vanbecelaere,Denis Vanbecelaere,31,3.774,0.876
jorge tavares,Jorge Tavares,31,6.0,1.393
liran liany,Liran Liany,31,4.032,0.936
mustafa ilker coskun,Mustafa Ilker Coskun,31,4.968,1.153
seb stockbridge,Seb Stockbridge,31,3.774,0.876
david webb,David Webb,31,2.226,0.517
peter munch larsen,Peter Munch Larsen,31,3.226,0.749
cesar ramos palazuelos,César Ramos Palazuelos,31,3.774,0.876
burak pakkan,Burak Pakkan,31,5.774,1.34
johannes von mandach,Johannes von Mandach,31,4.903,1.138
bruno arleu de araujo,Bruno Arleu de Araújo,31,5.677,1.318
adam kersey,Adam Kersey,31,4.355,1.011
felipe fernandes de lima,Felipe Fernandes de Lima,31,4.968,1.153
sergiy lysenchuk,Sergiy Lysenchuk,30,3.1,0.72
jerome efong nzolo,Jerome Efong Nzolo,30,4.333,1.006
iain brines,Iain Brines,30,2.633,0.611
koray gencerler,Koray Gencerler,30,5.033,1.168
alan newlands,Alan Newlands,30,3.7,0.859
roi reinshreiber,Roi Reinshreiber,30,4.7,1.091
georgios vreskas,Georgios Vreskas,30,4.967,1.153
kristoffer hagenes,Kristoffer Hagenes,30,4.833,1.122
brent staessens,Brent Staessens,30,3.8,0.882
florian exner,Florian Exner,30,5.0,1.161
dario herrera,Darío Herrera,30,5.833,1.354
tori penso,Tori Penso,30,4.067,0.944
danilo nikolic,Danilo Nikolic,30,4.167,0.967
pavle ilic,Pavle Ilic,30,4.5,1.045
faisal suleiman al balawi,Faisal Suleiman Al-Balawi,30,4.8,1.114
alexis da silva,Alexis Da Silva,30,4.767,1.106
jon freemon,Jon Freemon,30,4.767,1.106
apostolos ambarkiolis,Apostolos Ambarkiolis,29,4.897,1.137
jesper nielsen,Jesper Nielsen,29,2.966,0.688
ivan sidenkov,Ivan Sidenkov,29,5.069,1.177
fabio melo,Fábio Melo,29,6.0,1.393
alper akarsu,Alper Akarsu,29,4.276,0.992
yael falcon perez,Yael Falcón Pérez,29,5.655,1.313
luca piccolo,Luca Piccolo,29,5.621,1.305
pierre luc lauziere,Pierre-Luc Lauzière,29,4.379,1.016
maksim layushkin,Maksim Layushkin,28,4.429,1.028
daniel ocon arraiz,Daniel Ocón Arráiz,28,4.286,0.995
fotis fotiadis,Fotis Fotiadis,28,5.071,1.177
guido gonzales jr.,Guido Gonzales Jr.,28,4.357,1.011
jair marrufo,Jair Marrufo,28,2.929,0.68
juxhin xhaja,Juxhin Xhaja,28,5.143,1.194
dmytro kubryak,Dmytro Kubryak,28,4.429,1.028
inal tanashev,Inal Tanashev,28,5.036,1.169
mohammad usman aslam,Mohammad Usman Aslam,28,4.036,0.937
anojen kanagasingam,Anojen Kanagasingam,28,4.643,1.078
abdelatif kherradji,Abdelatif Kherradji,28,4.0,0.928
szabolcs kovacs,Szabolcs Kovacs,28,4.107,0.953
rares vidican,Rares Vidican,28,4.893,1.136
shukri hussein al hunfsh,Shukri Hussein Al-Hunfsh,28,3.357,0.779
ramon abatti abel,Ramon Abatti Abel,28,4.964,1.152
marcos de oliveira,Marcos de Oliveira,28,3.643,0.846
oscar johnson,Oscar Johnson,28,4.5,1.045
victor wolf,Victor Wolf,28,3.714,0.862
fredrik klitte,Fredrik Klitte,28,4.25,0.986
flavio rodrigues de souza,Flavio Rodrigues de Souza,28,5.464,1.268
konstantinos ioannidis,Konstantinos Ioannidis,27,6.556,1.522
eugenio abbattista,Eugenio Abbattista,27,3.222,0.748
charles breakspear,Charles Breakspear,27,4.63,1.075
milan ilic,Milan Ilic,27,5.593,1.298
pavel orel,Pavel Orel,27,4.852,1.126
ranel ziyakov,Ranel Ziyakov,27,4.444,1.032
jose luis guzman mansilla,José Luis Guzmán Mansilla,27,5.259,1.221
konstantinos tsetsilas,Konstantinos Tsetsilas,27,6.37,1.479
lewis smith,Lewis Smith,27,3.444,0.799
ryan lee,Ryan Lee,27,3.185,0.739
duncan nicolson,Duncan Nicolson,27,4.37,1.014
jong hyuk kim,Jong-hyuk Kim,27,3.407,0.791
joakim sars,Joakim Sars,27,4.704,1.092
evgeniy kukulyak,Evgeniy Kukulyak,27,4.185,0.971
chris penso,Chris Penso,27,4.481,1.04
adi aganovic,Adi Aganovic,27,3.667,0.851
luis lobo medina,Luis Lobo Medina,27,5.444,1.264
alex gomes stefano,Alex Gomes Stefano,27,5.815,1.35
sergiy skrypak,Sergiy Skrypak,26,4.0,0.928
ross joyce,Ross Joyce,26,4.0,0.928
dean whitestone,Dean Whitestone,26,2.385,0.553
denys reznikov,Denys Reznikov,26,4.154,0.964
manuel schuttengruber,Manuel Schüttengruber,26,4.615,1.071
lloyd wilson,Lloyd Wilson,26,3.885,0.902
scott oldham,Scott Oldham,26,3.192,0.741
manuel volpi,Manuel Volpi,26,5.038,1.169
michalis matsoukas,Michalis Matsoukas,26,4.346,1.009
miguel sesma espinosa,Miguel Sesma Espinosa,26,3.577,0.83
hyung jin ko,Hyung-jin Ko,26,4.423,1.027
nico gianforte,Nico Gianforte,26,5.231,1.214
florin andrei,Florin Andrei,26,4.038,0.937
abdullah khaled al kharboush,Abdullah Khaled Al-Kharboush,26,3.846,0.893
leandro rey hilfer,Leandro Rey Hilfer,26,5.385,1.25
richard sundell,Richard Sundell,26,3.538,0.821
vladimir kazmenko,Vladimir Kazmenko,25,3.92,0.91
peter vervecken,Peter Vervecken,25,3.92,0.91
christophe delacour,Christophe Delacour,25,4.16,0.966
craig charleston,Craig Charleston,25,4.24,0.984
alon yefet,Alon Yefet,25,3.16,0.733
gavin ward,Gavin Ward,25,3.36,0.78
darren drysdale,Darren Drysdale,25,2.72,0.631
vangelis gratsanis,Vangelis Gratsanis,25,5.48,1.272
fran jovic,Fran Jovic,25,4.72,1.096
andreas gamaris,Andreas Gamaris,25,3.8,0.882
roman safyan,Roman Safyan,25,4.2,0.975
sergio guelho,Sérgio Guelho,25,4.6,1.068
giuseppe collu,Giuseppe Collu,25,4.32,1.003
sergiy zadyran,Sergiy Zadyran,25,4.24,0.984
dan mcfarlane,Dan McFarlane,25,4.4,1.021
pawel malec,Pawel Malec,25,3.64,0.845
marko ivkovic,Marko Ivkovic,25,3.64,0.845
stanislav volek,Stanislav Volek,25,4.4,1.021
marius hansen grtta,Marius Hansen Grøtta,25,3.52,0.817
paulo cesar zanovelli,Paulo Cesar Zanovelli,25,5.16,1.198
lucas paulo torezin,Lucas Paulo Torezin,25,5.2,1.207
vitaliy godulyan,Vitaliy Godulyan,24,4.917,1.141
alexandru tudor,Alexandru Tudor,24,5.792,1.344
martin strombergsson,Martin Strömbergsson,24,2.875,0.667
stefan johannesson,Stefan Johannesson,24,3.958,0.919
mykola kryvonosov,Mykola Kryvonosov,24,4.417,1.025
oliver langford,Oliver Langford,24,2.417,0.561
kasper madsen,Kasper Madsen,24,2.708,0.629
ben toner,Ben Toner,24,2.833,0.658
tiago antunes,Tiago Antunes,24,5.042,1.17
anzhony rodrigues,Anzhony Rodrigues,24,4.458,1.035
facundo tello,Facundo Tello,24,4.75,1.103
arnes talic,Arnes Talic,24,5.042,1.17
adnan deniz kayatepe,Adnan Deniz Kayatepe,24,4.333,1.006
ahmed mohammed al rumaikhani,Ahmed Mohammed Al-Rumaikhani,24,3.125,0.725
sebastian zunino,Sebastián Zunino,24,5.917,1.373
lachlan keevers,Lachlan Keevers,24,4.167,0.967
malik badawi,Malik Badawi,24,4.25,0.986
marius lien,Marius Lien,24,2.917,0.677
matheus delgado candancan,Matheus Delgado Candançan,24,3.708,0.861
hugo pacheco,Hugo Pacheco,23,5.391,1.251
jeroen sanders,Jeroen Sanders,23,2.957,0.686
miguel angel perez lasa,Miguel Ángel Pérez Lasa,23,6.478,1.504
antti munukka,Antti Munukka,23,4.435,1.029
simon lee evans,Simon Lee Evans,23,5.522,1.282
stefanos mantakis,Stefanos Mantakis,23,4.826,1.12
georgios liachoudis,Georgios Liachoudis,23,4.87,1.13
keith stroud,Keith Stroud,23,4.087,0.949
evangelos kiotzenis,Evangelos Kiotzenis,23,4.087,0.949
martin coy,Martin Coy,23,3.0,0.696
marco serra,Marco Serra,23,4.565,1.06
simon duerlund rasmussen,Simon Duerlund Rasmussen,23,2.87,0.666
mykhaylo rayda,Mykhaylo Rayda,23,4.13,0.959
dmytro yevtukhov,Dmytro Yevtukhov,23,4.043,0.939
graham grainger,Graham Grainger,23,3.435,0.797
lazar lukic,Lazar Lukic,23,4.261,0.989
michiel allaerts,Michiel Allaerts,23,3.652,0.848
milan mitic,Milan Mitic,23,4.565,1.06
stanko ostracanin,Stanko Ostracanin,23,4.348,1.009
zdenko lovric,Zdenko Lovric,23,4.087,0.949
jakob semler,Jakob Semler,23,3.783,0.878
fotis bazakos,Fotis Bazakos,23,4.435,1.029
min seok song,Min-seok Song,23,4.0,0.928
savio pereira sampaio,Sávio Pereira Sampaio,23,5.0,1.161
tim pots,Tim Pots,22,4.182,0.971
artem kuchin,Artem Kuchin,22,3.455,0.802
peter kralovic,Peter Kralovic,22,4.227,0.981
arnold hunter,Arnold Hunter,22,4.636,1.076
deniz ates bitnel,Deniz Ates Bitnel,22,5.318,1.234
chris sarginson,Chris Sarginson,22,3.0,0.696
georgios blanas,Georgios Blanas,22,4.409,1.023
bruno vieira,Bruno Vieira,22,5.682,1.319
anthony backhouse,Anthony Backhouse,22,3.364,0.781
ondrej pechanec,Ondrej Pechanec,22,5.091,1.182
benjamin speedie,Benjamin Speedie,22,2.864,0.665
sivert amland,Sivert Amland,22,3.591,0.833
kevin bonacina,Kevin Bonacina,22,3.318,0.77
mirel turkes,Mirel Turkes,22,4.091,0.95
ali ylmaz,Ali Yılmaz,22,4.636,1.076
lorenzo hernandez,Lorenzo Hernandez,22,4.727,1.097
hernan mastrangelo,Hernán Mastrángelo,22,4.5,1.045
andres gariano,Andrés Gariano,22,4.636,1.076
andres merlos,Andrés Merlos,22,4.091,0.95
lucas casagrande,Lucas Casagrande,22,4.773,1.108
sergey kostevich,Sergey Kostevich,21,3.619,0.84
stephan klossner,Stephan Klossner,21,4.238,0.984
serkan cinar,Serkan Cinar,21,5.143,1.194
ruud bossen,Ruud Bossen,21,3.095,0.718
antonio giannoccaro,Antonio Giannoccaro,21,4.81,1.116
marijo strahonja,Marijo Strahonja,21,4.714,1.094
geoff eltringham,Geoff Eltringham,21,2.952,0.685
dumitru muntean,Dumitru Muntean,21,5.381,1.249
wilmar roldan,Wilmar Roldán,21,5.143,1.194
ivan saraev,Ivan Saraev,21,4.619,1.072
giannis neofytiadis,Giannis Neofytiadis,21,5.952,1.382
robert harvey,Robert Harvey,21,5.667,1.315
tom nield,Tom Nield,21,3.19,0.741
joao bento,João Bento,21,5.524,1.282
panagiotis tsiaras,Panagiotis Tsiaras,21,5.095,1.183
josh smith,Josh Smith,21,3.333,0.774
hugo silva,Hugo Silva,21,5.048,1.172
alberto santoro,Alberto Santoro,21,4.095,0.951
iain snedden,Iain Snedden,21,3.905,0.906
mustafa kursad filiz,Mustafa Kürşad Filiz,21,4.619,1.072
maria sole ferrieri caputi,Maria Sole Ferrieri Caputi,21,3.81,0.884
thomas kirk,Thomas Kirk,21,3.952,0.917
aleksandar zivkovic,Aleksandar Zivkovic,21,4.952,1.15
viorel flueran,Viorel Flueran,21,2.333,0.542
ricardo fierro,Ricardo Fierro,21,4.19,0.973
joseph dickerson,Joseph Dickerson,21,4.286,0.995
ricardo montero,Ricardo Montero,21,4.429,1.028
svein tore sinnes,Svein Tore Sinnes,21,3.429,0.796
sebastian martinez beligoy,Sebastián Martínez Beligoy,21,6.667,1.547
yong jun shin,Yong-jun Shin,21,4.81,1.116
sergiy dankovsky,Sergiy Dankovsky,20,5.1,1.184
henning jensen,Henning Jensen,20,3.5,0.812
claude bourdouxhe,Claude Bourdouxhe,20,3.7,0.859
adrien jaccottet,Adrien Jaccottet,20,5.2,1.207
abdullah yilmaz,Abdullah Yilmaz,20,4.4,1.021
jan wegereef,Jan Wegereef,20,2.85,0.662
carl boyeson,Carl Boyeson,20,3.3,0.766
spyros selimos,Spyros Selimos,20,4.6,1.068
valerio marini,Valerio Marini,20,4.55,1.056
vilhjalmur alvar thorarinsson,Vilhjálmur Alvar Thórarinsson,20,4.4,1.021
clay ruperti,Clay Ruperti,20,3.1,0.72
sebastian friis aagerup,Sebastian Friis Aagerup,20,2.95,0.685
christopher jager,Christopher Jäger,20,5.6,1.3
oleg kogut,Oleg Kogut,20,4.4,1.021
tom reeves,Tom Reeves,20,2.7,0.627
arthur denil,Arthur Denil,20,4.1,0.952
milan stefanovic,Milan Stefanovic,20,4.6,1.068
dejan trifkovic,Dejan Trifkovic,20,4.1,0.952
predrag janjus,Predrag Janjus,20,5.1,1.184
ladislav szikszay,Ladislav Szikszay,20,5.65,1.311
patrik pavlesic,Patrik Pavlesic,20,4.55,1.056
george gaman,George Găman,20,4.95,1.149
iulian calin,Iulian Călin,20,4.75,1.103
markus hameter,Markus Hameter,20,4.55,1.056
nazareno arasa,Nazareno Arasa,20,5.35,1.242
tim danaskos,Tim Danaskos,20,3.45,0.801
timothy ford,Timothy Ford,20,4.75,1.103
pablo dovalo,Pablo Dóvalo,20,3.9,0.905
pablo echavarria,Pablo Echavarría,20,4.35,1.01
jean charles cailleux,Jean-Charles Cailleux,19,3.632,0.843
sam loeman,Sam Loeman,19,4.421,1.026
mark halsey,Mark Halsey,19,2.158,0.501
leontios trattou,Leontios Trattou,19,4.0,0.928
rui silva,Rui Silva,19,5.474,1.271
andrea romeo,Andrea Romeo,19,5.053,1.173
genc nuza,Genc Nuza,19,4.895,1.136
pedro ramalho,Pedro Ramalho,19,5.947,1.38
matthew donohue,Matthew Donohue,19,4.316,1.002
goga kikacheishvili,Goga Kikacheishvili,19,5.263,1.222
murat erdogan,Murat Erdoğan,19,4.526,1.051
muhammet ali metoglu,Muhammet Ali Metoğlu,19,5.895,1.368
marcin szczerbowicz,Marcin Szczerbowicz,19,4.0,0.928
horia gabriel mladinovici,Horia Gabriel Mladinovici,19,3.579,0.831
sami ahmed al jurays,Sami Ahmed Al-Jurays,19,4.737,1.099
armando villarreal,Armando Villarreal,19,3.895,0.904
akihiko ikeuchi,Akihiko Ikeuchi,19,1.842,0.428
stian rvig sletner,Stian Røvig Sletner,19,3.105,0.721
dong jun lee,Dong-jun Lee,19,3.158,0.733
bert verbeke,Bert Verbeke,19,3.263,0.757
carlos ortega,Carlos Ortega,19,6.947,1.613
sergey kuznetsov,Sergey Kuznetsov,18,5.5,1.277
dr john mckendrick,Dr John McKendrick,18,2.278,0.529
marius avram,Marius Avram,18,4.111,0.954
ali palabiyik,Ali Palabiyik,18,5.889,1.367
giannis kampaxis,Giannis Kampaxis,18,3.667,0.851
steven kirkland,Steven Kirkland,18,4.0,0.928
goncalo martins,Gonçalo Martins,18,4.944,1.148
stan teuben,Stan Teuben,18,3.056,0.709
michal ocenas,Michal Ocenas,18,4.444,1.032
giacomo camplone,Giacomo Camplone,18,3.5,0.812
georgios tasis,Georgios Tasis,18,5.944,1.38
oliver yates,Oliver Yates,18,4.0,0.928
will finnie,Will Finnie,18,3.222,0.748
yevgeniy tsybulko,Yevgeniy Tsybulko,18,5.889,1.367
andrey prokopov,Andrey Prokopov,18,4.056,0.941
emre kargn,Emre Kargın,18,5.0,1.161
andrea airaghi colombo,Andrea Airaghi Colombo,18,5.0,1.161
konstantinos perrakis,Konstantinos Perrakis,18,4.833,1.122
andrew kitchen,Andrew Kitchen,18,2.278,0.529
sebastian krasny,Sebastian Krasny,18,4.0,0.928
desiree blanco,Désirée Blanco,18,4.389,1.019
ivan vukancic,Ivan Vukancic,18,3.389,0.787
isa simsek,Isa Simsek,18,4.778,1.109
batuhan kolak,Batuhan Kolak,18,4.889,1.135
abdullah dhafer al shehri,Abdullah Dhafer Al-Shehri,18,3.833,0.89
christian moen,Christian Moen,18,3.0,0.696
byung jin park,Byung-jin Park,18,3.667,0.851
dae yong kim,Dae-yong Kim,18,3.889,0.903
andriy kuzmin,Andriy Kuzmin,17,4.882,1.133
nikola popov,Nikola Popov,17,5.059,1.174
eitan shmuelevic,Eitan Shmuelevic,17,4.765,1.106
mag. oliver drachta,Mag. Oliver Drachta,17,4.412,1.024
stephan studer,Stephan Studer,17,4.294,0.997
damaso arcediano monescillo,Dámaso Arcediano Monescillo,17,5.588,1.297
daniele minelli,Daniele Minelli,17,5.588,1.297
ananias fotiadis,Ananias Fotiadis,17,5.0,1.161
trustin farrugia cann,Trustin Farrugia Cann,17,4.529,1.051
juri frischer,Juri Frischer,17,4.294,0.997
craig hicks,Craig Hicks,17,2.882,0.669
david rock,David Rock,17,4.118,0.956
dimitrios maloutas,Dimitrios Maloutas,17,4.824,1.12
konstantinos poulikidis,Konstantinos Poulikidis,17,5.294,1.229
balazs berke,Balázs Berke,17,4.294,0.997
francesco cosso,Francesco Cosso,17,4.294,0.997
ismail elfath,Ismail Elfath,17,4.176,0.969
marcin kochanek,Marcin Kochanek,17,3.588,0.833
nikola radakovic,Nikola Radakovic,17,4.706,1.092
ivan stamenkovic,Ivan Stamenkovic,17,4.824,1.12
andrija stojanovic,Andrija Stojanovic,17,3.059,0.71
david matic,David Matic,17,4.353,1.01
adrian cojocaru,Adrian Cojocaru,17,4.471,1.038
alain sadikovski,Alain Sadikovski,17,4.471,1.038
andrei moroita,Andrei Moroiță,17,4.353,1.01
sergii demianchuk,Sergii Demianchuk,17,4.824,1.12
koki nagamine,Koki Nagamine,17,2.941,0.683
daniel higraff,Daniel Higraff,17,4.059,0.942
fernando echenique,Fernando Echenique,17,5.412,1.256
tae hwan seol,Tae-hwan Seol,17,4.176,0.969
alain bieri,Alain Bieri,16,4.062,0.943
libor kovarik,Libor Kovarik,16,4.188,0.972
ivaylo stoyanov,Ivaylo Stoyanov,16,5.0,1.161
stanislav todorov,Stanislav Todorov,16,5.188,1.204
riccardo pinzani,Riccardo Pinzani,16,3.688,0.856
tom harald hagen,Tom Harald Hagen,16,4.25,0.986
luigi nasca,Luigi Nasca,16,4.125,0.957
andy woolmer,Andy Woolmer,16,2.062,0.479
stephen martin,Stephen Martin,16,3.125,0.725
andy haines,Andy Haines,16,2.938,0.682
anton anopa,Anton Anopa,16,3.688,0.856
lee swabey,Lee Swabey,16,2.75,0.638
petr ardeleanu,Petr Ardeleanu,16,4.625,1.074
sergio piscarreta,Sérgio Piscarreta,16,7.188,1.668
artur fedorov,Artur Fedorov,16,4.438,1.03
mario zebec,Mario Zebec,16,3.375,0.783
alan young,Alan Young,16,5.125,1.19
paride tremolada,Paride Tremolada,16,4.75,1.103
gergo bogar,Gergő Bogár,16,4.812,1.117
elchin masiyev,Elchin Masiyev,16,4.188,0.972
artem mykhaylyuk,Artem Mykhaylyuk,16,3.75,0.87
jan petrik,Jan Petrik,16,4.938,1.146
yusuke araki,Yusuke Araki,16,2.875,0.667
jovan segrt,Jovan Segrt,16,2.938,0.682
