ref_norm,referee,club_games,club_cpg,club_ratio
sven jablonski,Sven Jablonski,178,3.758,0.872
vladimir moskalev,Vladimir Moskalev,178,4.562,1.059
santiago jaime latre,Santiago Jaime Latre,176,5.273,1.224
andrew madley,Andrew Madley,176,3.239,0.752
alan muir,Alan Muir,175,3.817,0.886
anders poulsen,Anders Poulsen,174,2.994,0.695
luca pairetto,Luca Pairetto,172,4.709,1.093
vitaliy meshkov,Vitaliy Meshkov,172,4.791,1.112
morten krogh,Morten Krogh,171,3.883,0.901
sandi putros,Sandi Putros,171,3.877,0.9
massimiliano irrati,Massimiliano Irrati,170,5.129,1.191
piero giacomelli,Piero Giacomelli,169,4.012,0.931
simon hooper,Simon Hooper,169,3.58,0.831
frat aydnus,Fırat Aydınus,169,4.462,1.036
szymon marciniak,Szymon Marciniak,166,4.283,0.994
luca banti,Luca Banti,166,4.753,1.103
gianpaolo calvarese,Gianpaolo Calvarese,166,4.687,1.088
sergiy boyko,Sergiy Boyko,165,4.994,1.159
vitaliy romanov,Vitaliy Romanov,164,5.579,1.295
antonio nobre,António Nobre,164,5.512,1.279
willy delajod,Willy Delajod,164,3.884,0.902
jan boterberg,Jan Boterberg,162,3.858,0.895
tobias welz,Tobias Welz,161,4.124,0.957
helder malheiro,Hélder Malheiro,160,5.444,1.264
aleksey eskov,Aleksey Eskov,159,4.56,1.058
edwin van de graaf,Edwin van de Graaf,158,2.981,0.692
arda kardesler,Arda Kardeşler,157,4.14,0.961
umit ozturk,Ümit Öztürk,156,5.378,1.248
thomas leonard,Thomas Léonard,156,3.981,0.924
mikhail vilkov,Mikhail Vilkov,155,4.594,1.066
carlos xistra,Carlos Xistra,154,5.403,1.254
jorge sousa,Jorge Sousa,154,5.61,1.302
david fernandez borbalan,David Fernández Borbalán,154,5.649,1.311
daniele chiffi,Daniele Chiffi,154,3.903,0.906
hakim ben el hadj,Hakim Ben El Hadj,152,3.961,0.919
paolo silvio mazzoleni,Paolo Silvio Mazzoleni,149,4.537,1.053
yasar kemal ugurlu,Yaşar Kemal Uğurlu,149,4.376,1.016
mykola balakin,Mykola Balakin,148,5.101,1.184
lothar d'hondt,Lothar D'hondt,148,4.122,0.957
yevgen aranovskyi,Yevgen Aranovskyi,147,5.109,1.186
peter bankes,Peter Bankes,147,3.898,0.905
robert jones,Robert Jones,146,3.904,0.906
david coote,David Coote,143,3.86,0.896
eric wattellier,Eric Wattellier,142,3.239,0.752
pavel kukuyan,Pavel Kukuyan,141,4.418,1.026
gianluca manganiello,Gianluca Manganiello,140,3.829,0.889
adrian cordero vega,Adrián Cordero Vega,139,4.734,1.099
